Time,PM25,PM10
1707349476.1517742,0,0
1707349477.1533358,0,0
1707349478.1548934,0,0
1707349479.1564126,0,0
1707349480.1581647,0,0
1707349481.1605492,0,0
1707349482.1633017,0,1
1707349483.1665916,0,1
1707349484.1696799,0,1
1707349485.1719575,0,0
1707349486.1750805,0,0
1707349487.1781251,0,0
1707349488.1815012,0,0
1707349489.1838143,0,1
1707349490.186094,0,1
1707349491.1884105,0,1
1707349492.1906693,0,0
1707349493.1929762,0,0
1707349494.1953397,0,0
1707349495.1976674,0,0
1707349496.199931,0,0
1707349497.2021918,0,0
1707349498.2044072,0,0
1707349499.2066736,0,1
1707349500.2090247,0,1
1707349501.2112918,0,1
1707349502.2135756,0,0
1707349503.2158618,0,0
1707349504.2181451,0,0
1707349505.2204695,0,0
